Firm,Date,Adj Close,ret
AAPL,2020-02-03,74.81010437011719,
AAPL,2020-02-04,77.27989196777344,0.033014091056966954
AAPL,2020-02-05,77.91004180908203,0.008154124252287787
AAPL,2020-02-06,78.82135009765625,0.011696929784832832
AAPL,2020-02-07,77.74996948242188,-0.013592517939707727
AAPL,2020-02-10,78.11923217773438,0.004749361289408505
AAPL,2020-02-11,77.64791107177734,-0.006033355587580447
AAPL,2020-02-12,79.49188232421875,0.02374785396012591
AAPL,2020-02-13,78.92581176757812,-0.007121111490753562
AAPL,2020-02-14,78.94525146484375,0.00024630341874565254
AAPL,2020-02-18,77.4997329711914,-0.018310391908702317
AAPL,2020-02-19,78.62213134765625,0.01448260959663017
AAPL,2020-02-20,77.81555938720703,-0.010258841201883362
AAPL,2020-02-21,76.0541763305664,-0.022635358153451746
AAPL,2020-02-24,72.44158935546875,-0.04750017881195234
AAPL,2020-02-25,69.98783874511719,-0.03387212555913266
AAPL,2020-02-26,71.09810638427734,0.01586372231329425
AAPL,2020-02-27,66.45054626464844,-0.06536826866399736
AAPL,2020-02-28,66.41168212890625,-0.0005848580324292474
AAPL,2020-03-02,72.59463500976562,0.09310038057548597
AAPL,2020-03-03,70.28909301757812,-0.03175912368561884
AAPL,2020-03-04,73.54944610595703,0.04638490764937808
AAPL,2020-03-05,71.1636962890625,-0.03243735939843195
AAPL,2020-03-06,70.21865844726562,-0.013279774535012723
AAPL,2020-03-09,64.6648941040039,-0.07909243021828183
AAPL,2020-03-10,69.32217407226562,0.07202176749522193
AAPL,2020-03-11,66.9145736694336,-0.03473059573005033
AAPL,2020-03-12,60.30644607543945,-0.09875468424321321
AAPL,2020-03-13,67.53166961669922,0.11980847838755881
AAPL,2020-03-16,58.84390640258789,-0.1286472445213026
AAPL,2020-03-17,61.43129348754883,0.04397034872666361
AAPL,2020-03-18,59.92745590209961,-0.02447999220062036
AAPL,2020-03-19,59.468284606933594,-0.007662118944547602
AAPL,2020-03-20,55.692909240722656,-0.06348552663264062
AAPL,2020-03-23,54.5097541809082,-0.02124426746501029
AAPL,2020-03-24,59.97847366333008,0.10032552090167512
AAPL,2020-03-25,59.64806365966797,-0.005508809802609482
AAPL,2020-03-26,62.78691482543945,0.052622850989442416
AAPL,2020-03-27,60.18741226196289,-0.04140197954786784
AAPL,2020-03-30,61.905025482177734,0.02853774827100075
AAPL,2020-03-31,61.77870559692383,-0.0020405433043602095
AAPL,2020-04-01,58.5280876159668,-0.05261712671945151
AAPL,2020-04-02,59.50471496582031,0.016686472933502783
AAPL,2020-04-03,58.649559020996094,-0.014371229999428192
AAPL,2020-04-06,63.765995025634766,0.08723741644514371
AAPL,2020-04-07,63.027442932128906,-0.01158222487093552
AAPL,2020-04-08,64.6406021118164,0.02559455222425311
AAPL,2020-04-09,65.1070327758789,0.00721575370315497
AAPL,2020-04-13,66.38494873046875,0.019627924973771638
AAPL,2020-04-14,69.73760986328125,0.05050333241085614
AAPL,2020-04-15,69.10110473632812,-0.009127142845890113
AAPL,2020-04-16,69.65015411376953,0.007945594785154775
AAPL,2020-04-17,68.70508575439453,-0.013568790642319084
AAPL,2020-04-20,67.27899169921875,-0.020756746600590126
AAPL,2020-04-21,65.19937896728516,-0.030910283870347333
AAPL,2020-04-22,67.07734680175781,0.028803461999461044
AAPL,2020-04-23,66.81741333007812,-0.0038751304885075166
AAPL,2020-04-24,68.74640655517578,0.028869618396755836
AAPL,2020-04-27,68.79499053955078,0.000706713075046439
AAPL,2020-04-28,67.67985534667969,-0.016209540609355755
AAPL,2020-04-29,69.90281677246094,0.03284524493136809
ABM,2020-02-03,35.118743896484375,
ABM,2020-02-04,36.13431167602539,0.028918112291672182
ABM,2020-02-05,36.769046783447266,0.017565994147413333
ABM,2020-02-06,35.835086822509766,-0.025400711811706556
ABM,2020-02-07,34.837642669677734,-0.02783428871743343
ABM,2020-02-10,34.94646072387695,0.003123576851367549
ABM,2020-02-11,35.34543991088867,0.011416869655676454
ABM,2020-02-12,35.535850524902344,0.005387133799826138
ABM,2020-02-13,35.472373962402344,-0.0017862682773138738
ABM,2020-02-14,35.245689392089844,-0.006390453893860171
ABM,2020-02-18,35.0915412902832,-0.004373530620775279
ABM,2020-02-19,35.20035171508789,0.0031007593512233367
ABM,2020-02-20,35.3545036315918,0.004379272052495775
ABM,2020-02-21,34.837642669677734,-0.014619381092150552
ABM,2020-02-24,33.79487228393555,-0.029932288921770356
ABM,2020-02-25,32.39846420288086,-0.04132011712671779
ABM,2020-02-26,32.49821853637695,0.0030789834009237182
ABM,2020-02-27,32.017635345458984,-0.01478798569773987
ABM,2020-02-28,29.850473403930664,-0.06768650833034384
ABM,2020-03-02,31.482648849487305,0.05467837723946167
ABM,2020-03-03,30.77536964416504,-0.02246568288150197
ABM,2020-03-04,31.845340728759766,0.03476712374103341
ABM,2020-03-05,31.79093360900879,-0.0017084797494988369
ABM,2020-03-06,30.73909568786621,-0.03308609725272471
ABM,2020-03-09,28.599151611328125,-0.06961636406834171
ABM,2020-03-10,28.943716049194336,0.012048065010772158
ABM,2020-03-11,26.66775894165039,-0.07863389426829659
ABM,2020-03-12,21.91634750366211,-0.17817063099994523
ABM,2020-03-13,24.736364364624023,0.128671844635184
ABM,2020-03-16,23.9565486907959,-0.03152507225125434
ABM,2020-03-17,25.588716506958008,0.06813034036030352
ABM,2020-03-18,22.41506004333496,-0.12402562132258865
ABM,2020-03-19,21.816598892211914,-0.026699065269780387
ABM,2020-03-20,19.087257385253906,-0.1251038954533068
ABM,2020-03-23,18.543201446533203,-0.02850362038608123
ABM,2020-03-24,19.060060501098633,0.027873237318578603
ABM,2020-03-25,19.050989151000977,-0.0004759350106540161
ABM,2020-03-26,19.994020462036133,0.049500385704938976
ABM,2020-03-27,19.939611434936523,-0.0027212649503345343
ABM,2020-03-30,21.91634750366211,0.09913613789194087
ABM,2020-03-31,22.088626861572266,0.007860769586783167
ABM,2020-04-01,21.343965530395508,-0.03371243200600438
ABM,2020-04-02,22.14801788330078,0.03767117932046138
ABM,2020-04-03,20.814022064208984,-0.06023093471030683
ABM,2020-04-06,23.728715896606445,0.14003510822684584
ABM,2020-04-07,24.048505783081055,0.013476914969526188
ABM,2020-04-08,25.44646453857422,0.05813079482371308
ABM,2020-04-09,26.433256149291992,0.038779124275668986
ABM,2020-04-13,26.213977813720703,-0.008295547636387623
